#SampleID,BarcodeSequence,LinkerPrimerSequence,Platform,Project,RunDate,Index1,Description,Index1,Index2,Campaign ,Year,Month,Depth_m,Oxidation_Zone,Light_Zone,Biologic_Zone,Depth_DGT,Cu_DGT,Cu_diss,Cu_part,Cu_tot,Fe_DGT,Fe_diss,Fe_part,Fe_tot,Mn_DGT,Mn_diss,Mn_par,Mn_tot,DOC,DIC,TC,CH4,13CH4,O2,pH,Cond,Light,Turb,Chla,NO3,NO2,SO4,PO4,Stot,NH4,16S_corr_copies/L,MOB_corr_%,MOB_corr_copies/L,alpha_corr_%,alpha_corr_copies/L,gamma_corr_%,gamma_corr_copies/L,pmoA_copies/L,pmoA_corr_%,mmoX_copies/L,mmoX_%,Crenothrichaceae_%,Methylococcaceae_corr_%,verruco_corr_%,verruco_corr_copies/L,LD19_corr_%,LD19_corr_copies/L,Verruco_corr_tot_%,Verruco_corr_tot_copies/L,pmoA_copies/L/2,TDN,Pb_diss,Zn_diss,Cr_tot
A01,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,1,A_June_2013,2013,June,1,Oxic,Photic,AZ1,0.85,2.0615,11.117,1.4201,12.5371,0.2409,141.0431,131.0412,272.0843,51.6669,78.6498,3.0005,81.6503,0.1905,,13.49,0.7085,,361.75,8.0802,205.78,1321.64,0.5885,0.1212,,,,,0,,1674750517,0.0339,566946.1557,0.014,235064.252,0.0027,44581.1512,146103.2864,0.0044,0,0,0.0027,0,0,0,0.0172,287300.7525,0.0172,287300.7525,73051.6432,0.059,0.3696,57.3287,3.3521
A02,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,2,A_June_2013,2013,June,2,Oxic,Photic,AZ1,1.85,1.1574,10.681,1.847,12.528,0,144.6973,135.3197,280.017,44.4304,50.7019,35.8415,86.5433,0.1832,,13.33,0.7293,,363.02,8.0756,204.92,815.18,0.6456,0.31,,,,,0,,2462096950,0.047,1157218.47,0.0136,335966.6525,0,0,162318.8406,0.0033,0,0,0,0,0,0,0.0334,821251.8173,0.0334,821251.8173,81159.4203,0.0543,0.3546,34.4308,3.0701
A03,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,3,A_June_2013,2013,June,3,Oxic,Photic,AZ1,2.85,0.5239,10.5507,1.9642,12.5149,1.9115,131.0367,144.8254,275.8621,42.8411,54.8535,40.2282,95.0818,0.1932,,13.28,0.4121,,363.42,8.0646,204.76,506.58,0.8041,0.48,,,,,0,,2404696637,0.066,1587239.292,0,0,0.0013,32173.7694,246327.6836,0.0051,0,0,0.0013,0,0,0,0.0647,1555065.523,0.0647,1555065.523,123163.8418,0.0567,0.3115,65.4246,3.1661
A04,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,4,A_June_2013,2013,June,4,Oxic,Photic,AZ1,3.9,0.6768,10.9812,3.3878,14.369,1.9413,131.7012,138.9556,270.6568,54.2532,48.6108,51.8997,100.5106,0.2596,,13.16,0.7655,,371.28,8.0534,205.09,353.39,0.8473,0.64,,,,,0,,3585677660,0.0272,634032.046,0,0,0,0,259102.1562,0.0036,0,0,0,0,0,0,0.0272,634032.046,0.0272,634032.046,129551.0781,0.061,0.3376,38.5342,3.2542
A05,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,5,A_June_2013,2013,June,5,Oxic,Photic,AZ1,4.85,0.8298,8.2564,2.214,10.4704,1.971,83.1052,134.156,217.2612,65.6652,73.1779,48.6179,121.7958,0.185,,12.72,0.7667,,409.78,8.1084,205.53,231.52,2.0886,2.54,,,,,0,,2711171946,0.0905,2454087.671,0,0,0.011,297465.1722,229777.7778,0.0042,0,0,0.011,0,0,0,0.0795,2156622.498,0.0795,2156622.498,114888.8889,0.0494,0.1856,28.3406,2.245
A06,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,6,A_June_2013,2013,June,6,Oxycline,Photic,AZ1,5.85,1.3317,5.7389,1.125,6.8639,12.198,25.3247,63.1393,88.464,58.7999,49.3193,52.3016,101.6209,0.2638,,11.01,0.1012,,538.67,8.7091,199.19,138.56,9.8446,17.75,,,,,0,,3788631737,0.0208,786287.502,0,0,0.0049,186225.9873,406666.6667,0.0054,0,0,0.0049,0,0,0,0.0158,600061.5147,0.0158,600061.5147,203333.3333,0.0471,0.0917,57.0788,1.8743
A07,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,7,A_June_2013,2013,June,6.5,Oxycline,Photic,AZ2,6.35,1.2797,4.8903,1.3067,6.1971,1.6146,12.6827,65.3036,77.9863,43.9135,51.9966,41.383,93.3796,0.2365,,7.56,0.1703,,226.81,7.9898,206.37,83.7,16.3521,24.7,,,,,0,,3062044475,0.1415,4332926.44,0,0,0.038,1162734.848,335483.871,0.0055,6940.8602,0.0002,0.038,0,0,0,0.1035,3170191.593,0.1035,3170191.593,167741.9355,0.0586,0.0607,35.745,1.635
A08,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,8,A_June_2013,2013,June,7,Oxycline,Photic,AZ2,6.85,0.478,4.3669,1.1757,5.5426,3.1655,7.1918,71.1122,78.304,38.4175,44.4555,48.3216,92.7772,0.1758,,6.86,0.0233,,93.87,7.6536,207.1,34.7,15.7449,21.71,,,,,0,,1442706723,0.177,2553133.28,0,0,0.0401,578710.2102,147929.2929,0.0051,4929.2929,0.0003,0.0401,0,0,0,0.1369,1974423.07,0.1369,1974423.07,73964.6465,0.0681,0.0392,36.7042,1.9331
A09,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,9,A_June_2013,2013,June,7.5,Oxycline,Photic,AZ2,7.35,0.588,4.7973,0.6721,5.4694,1.2241,8.116,69.72,77.8361,36.4812,45.2607,47.7318,92.9924,0.2124,,6.53,0.0285,,71.49,7.5271,207.62,16.05,7.1625,9.24,,,,,0,,4069884008,0.4084,16611418.98,0,0,0.2785,11328225.91,440104.1667,0.0054,0,0,0.2783,0,0,0,0.1298,5283193.076,0.1298,5283193.076,220052.0833,0.0808,0.0694,44.6938,1.531
A10,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,10,A_June_2013,2013,June,8,Oxycline,Photic,AZ3,7.85,1.9699,4.7428,0.0793,4.8221,0.5495,6.5771,85.5071,92.0842,75.1088,37.9377,78.7488,116.6865,0.1684,,6.18,0.0343,,43.69,7.4661,207.51,9.82,4.0445,4.53,,,,,0,,4027751369,0.6278,25271724.42,0,0,0.4943,19895065.22,781720.4301,0.0097,0,0,0.4939,0,0,0,0.1335,5376659.202,0.1335,5376659.202,390860.2151,0.0818,0.0447,136.153,1.6011
