#OTU ID	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	B13	B14	B15	B16a	B16b	B17	B18	B19	C02	C03	C04	C04_75	C05	C06	C07	C08	C09	C10	C11	C12	C13	C14	C15	C16	C17	C18	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	D13	D14	D15	D16	D17	D18	Consensus Lineage
OTU_29	4362	1919	4382	1295	1054	35	21	9	38	101	87	37	28	84	20	26	18	9	6	19	15	5	5	21	4	1	8	8	1	3	3	4	2	3	6	1	3	0	1	2	0	95	189	23	91	61	18	7	3	0	2	1	4	3	0	3	1	1	1	6	5	2	2	4	1	0	0	0	0	0	1	0	0	3	4	3	1	 k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Luteolibacter; s__
OTU_19	701	447	1681	667	1066	1264	680	1084	1210	2880	2826	1229	889	2000	596	941	643	691	528	491	290	437	389	648	234	770	1363	439	257	941	3877	2433	992	133	418	202	449	460	478	410	393	657	1159	624	1035	1310	1618	2586	1309	634	462	899	481	182	392	107	298	114	183	1165	801	621	901	960	1219	1352	1394	2411	850	357	283	156	129	305	332	217	154	 k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Sediminibacterium; s__
OTU_27	637	566	2109	986	1265	819	166	236	457	684	664	367	269	456	125	122	51	105	69	56	29	187	157	322	70	234	450	198	149	343	1165	472	157	15	43	6	35	34	31	25	30	450	613	254	468	704	706	780	241	54	49	63	93	29	47	23	35	16	18	831	582	539	692	673	563	599	522	783	245	61	44	10	11	19	17	15	11	 k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__
OTU_103	78	46	131	95	221	974	160	80	83	106	68	28	17	47	13	28	25	15	30	44	24	2	5	17	2	1	7	2	2	6	7	7	10	2	4	1	4	7	17	16	20	50	96	41	141	36	71	123	63	9	1	0	1	0	1	0	4	0	3	19	13	13	11	14	6	6	5	24	11	3	9	2	0	1	4	2	4	 k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__; s__
OTU_42	460	285	868	285	470	1107	446	663	664	1023	1192	459	443	839	301	503	375	324	302	337	103	545	408	1352	389	484	581	171	139	387	1206	2433	733	143	363	187	383	344	189	199	253	280	685	435	937	474	630	946	471	185	181	293	209	179	355	151	439	182	257	666	490	438	531	481	547	925	795	1461	747	570	439	213	127	171	236	170	110	 k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__ACK-M1; g__; s__
OTU_33	2501	1247	3795	1433	2762	5061	470	257	321	434	279	81	83	126	42	60	61	28	49	69	24	307	188	1453	742	651	779	195	140	368	815	977	575	71	172	99	224	236	211	207	106	665	1290	525	1376	663	663	862	390	79	26	20	33	46	67	64	177	70	129	386	344	394	478	351	324	412	288	599	283	62	198	55	47	35	56	23	19	 k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__; s__
OTU_15	74	68	160	73	97	642	289	339	373	751	818	306	271	633	280	399	351	265	258	287	134	276	219	854	291	485	524	72	38	100	247	339	135	75	202	124	299	257	163	175	208	147	376	266	591	275	486	913	719	418	932	1195	545	204	265	90	207	83	123	419	312	339	363	328	361	594	696	1489	746	536	398	195	137	227	343	199	151	 k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__ACK-M1; g__; s__
OTU_3446	826	402	1204	617	1355	844	117	47	40	37	24	6	3	8	1	5	0	0	0	2	1	20	7	34	22	47	21	4	2	10	10	98	29	2	6	3	11	14	4	7	6	75	162	66	196	83	109	139	56	4	1	0	1	0	1	0	0	0	1	15	11	11	11	5	7	6	2	25	22	1	5	5	2	2	4	4	0	 k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__; s__
OTU_17	2112	1427	4304	1390	1962	2924	886	1044	999	1631	1837	681	691	1296	533	789	570	554	488	477	221	2948	2256	6859	2205	2128	2458	795	554	1455	3362	5050	1762	348	835	411	849	810	482	379	419	934	2025	1089	2272	1435	1526	1891	1211	557	673	681	512	375	699	326	1022	408	629	1958	1517	1460	1747	1359	1109	1296	983	1972	961	1111	1244	590	301	353	484	336	203	 k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__ACK-M1; g__; s__
OTU_2	2621	1508	4260	1495	2635	8294	4656	5235	5740	9596	10415	3899	3707	7988	3404	5348	4271	3603	3481	3272	1576	5427	4357	13120	4390	5272	5876	1448	872	2216	4883	7073	2904	946	2700	1392	3460	3529	2241	2162	2549	1669	4337	3270	6586	3089	4469	6683	5550	3096	5856	5016	2489	1251	1782	829	2804	1111	1775	3977	3089	3014	3567	3051	2739	4194	3638	6322	3686	2785	2431	1616	1404	1934	2742	1943	1222	 k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__ACK-M1; g__; s__
