#OTU ID	bG01	bG02	bG03	bG04	bG05	bG06	bG07	bG08	bG09	bG10	bG11	bG12	bG13	bG14	bG15	bG16	bG17	bG18	bG19	bG20	bGB	bL01	bL02	bL02r	bL03	bL04	bL05	bL06	bL07	bL08	bL09	bL10	bL11	bL12	bLB	bP	bR01	bR02	bR03	bR04	bR05	bR06	bR07	bR08	bR09	bR10	bR11	bR12	bR13	bR14	bR15	bR16	bR17	bR18	bR19	bR20	bRB	bS01	bS02	bS03	bS04	bS05	bS06	bS07	bS08	bS09	bS10	bS10r	bS11	bS12	bS13	bS14	bS15	bS16	bS17	bS18	bSB	bZ01	bZ02	bZ03	bZ03r	bZ04	bZ05	bZ06	bZ07	bZ08	bZ09	bZ10	bZ11	bZ12	bZ13	bZ14	bZ15	bZ16	bZ17	bZB	dG01	dG02	dG03	dG04	dG05	dG06	dG07	dG08	dG08r	dG09	dG10	dG11	dG12	dG13	dG14	dG15	dG16	dG17	dG18	dG19	dG20	dGB	dL01	dL02	dL02r	dL03	dL04	dL05	dL06	dL07	dL08	dL09	dL10	dL11	dL12	dLB	dR01	dR02	dR03	dR04	dR05	dR06	dR07	dR08	dR09	dR10	dR11	dR12	dR13	dR14	dR15	dR16	dR17	dR18	dR19	dR20	dRB	dS01	dS02	dS03	dS04	dS05	dS06	dS07	dS08	dS09	dS10	dS10r	dS11	dS12	dS13	dS14	dS15	dS16	dS17	dS18	dSB	dZ01	dZ02	dZ03	dZ03r	dZ04	dZ05	dZ06	dZ07	dZ08	dZ09	dZ10	dZ11	dZ12	dZ13	dZ14	dZ15	dZ16	dZ17	dZB	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22EBL	A23EBL	A06	A07	A08	A09	B01	B10	B11	B12	B13	B14	B15	B16a	B16b	B17	B18	B19	B02	B20EBL	B03	B04	B05	B06	B07	B08	B09	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19EBL	C02	C03	C04	C04_75	C05	C06	C07	C08	C09	D01	D10	D11	D13	D14	D15	D16	D17	D18	D02	D03	D04	D05	D06	D07	D08	D09	H2O	rosea_04	Consensus Lineage
ZOTU1	481	480	7727	12880	10194	5670	4120	2397	1339	837	822	694	431	445	419	350	370	444	305	338	5	2	1	1	1	0	2	0	1	0	1	2	1	2	1	1	3513	29042	23778	29255	26002	19609	1818	2575	1790	2156	2722	1453	2721	2920	2579	2849	3138	3327	3970	498	2	1232	404	1241	1695	885	8769	9916	19657	24127	25524	26937	18711	7774	6964	1630	1368	2053	1231	1358	0	337	177	201	349	254	115	508	529	494	423	398	771	896	226	732	31	24	2	0	786	407	15164	15834	14877	12665	9080	6771	3529	3366	1870	2132	1839	1167	856	793	852	1175	889	560	920	2	0	2	1	2	0	0	4	2	0	1	2	2	4	0	43570	44492	37219	38609	44237	19335	2066	3607	1257	732	884	1057	1033	1920	1046	2090	1801	1850	1445	1551	1	9711	3508	11067	9864	13068	82748	30813	24858	33099	23425	25623	20925	5919	6589	2139	1728	4342	1375	3085	3	242	281	241	178	286	219	244	202	212	224	112	369	345	362	212	62	39	38	0	31834	19278	135542	35586	122832	74023	92698	24377	25788	17000	12292	17572	8	18	246	6708	5148	17868	193	9813	31306	15816	39440	32919	7677	12707	12881	17800	8179	8695	102	5	1260	1577	31405	13999	19970	23581	14724	14805	25923	18007	3636	13294	12735	6430	3984	1143	2	682	2404	8962	22015	20172	10049	38813	10951	46605	7567	26051	23458	4563	584	683	343	3346	3249	1731	1073	1335	28961	28694	38178	34351	40869	6	1	 k__Bacteria_MOB_like; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__typeIa; s__lake-cluster-1
ZOTU2	34422	29450	125	287	1268	2534	3475	5969	9612	9353	10249	13533	17322	10410	15244	21127	19917	20387	24936	34459	4	5	3	2	113	119	1070	620	394	280	85	177	98	2	1	1	1613	770	710	88	30	912	20313	17433	31433	26378	29181	15770	28569	22217	25996	22682	26725	24648	28929	7583	8	2	1	0	2	2	3	3	0	5	509	531	1257	5621	6079	7953	11820	9538	11269	13124	3	1	3	3	4	3	1	4	4	0	52	4	76	66	126	258	279	82	150	2	17327	20827	205	261	1083	1224	2586	6101	2449	10359	12841	5059	8246	13790	11661	15299	17174	17334	12602	13971	19416	1	2	1	2	3	70	299	88	23	16	2	1	1	0	1	9996	1298	754	67	164	186	3469	11843	19388	13037	16132	18608	16647	22959	17635	13294	31078	26725	25192	9481	36	54	0	1	3	2	1	0	2	1	151	148	567	1348	1055	5306	8001	8882	8353	20269	0	1	4	5	4	4	6	20	2	1	56	3	34	86	138	101	38	78	41	0	1964	1144	12305	2461	21663	40561	54804	32606	25032	30931	24394	31797	27	38	1	194	157	1630	66	5359	30094	5357	19945	39548	7892	4084	5449	36852	11656	5711	1	4	9	3	14	2	292	16	2496	27	64	227	34	758	676	918	371	319	1	1	1	3	2	2	1	2	1	2	1	26	1324	7745	2172	2993	2782	6882	13559	1	9	8	11	11	9	3	0	1	0	 k__Bacteria_MOB_like; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylobacter; s__Methylobacter_sp._LW12
ZOTU4	10	1	360	481	208	170	115	87	102	84	48	12	23	17	11	12	5	8	15	10	0	0	0	4	1	0	0	0	0	0	0	1	1	1	0	0	45	3	3	6	1	3	3	1	0	1	2	1	4	3	0	4	6	3	7	115	0	26649	22098	26696	28126	24978	23489	19099	11817	5286	790	1002	526	75	220	165	167	289	205	292	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	30	45	13	21	7	16	9	12	15	3	4	0	0	1	5	0	5	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	40	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	109	0	9578	9779	16815	16792	18040	8888	4527	1292	303	23	26	7	0	14	15	20	28	24	72	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	98	76	405	92	83	88	83	34	9	16	10	27	2	2	16	48	103	113	4471	251	75	47	154	91	152	193	78	101	44	51	2852	0	8645	3570	10510	1928	1031	664	299	5267	6349	3751	2017	1812	1734	1323	2045	1004	2	16347	31662	21011	50306	17704	16189	21744	8939	16485	120777	1172	244	461	193	244	121	1679	1810	42599	35173	34337	101106	66045	53591	34969	19042	1	0	 k__Bacteria_MOB_like; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__Methylocystis; s__
ZOTU5	0	0	0	0	0	1	1	1	0	1	1	0	0	2	2	0	2	0	1	0	0	304	1615	2821	2191	2948	2249	2315	2373	1625	1256	1957	2309	0	0	0	21	361	341	707	540	3379	1163	740	2068	1976	2641	1178	2566	2459	2627	2303	2696	3068	3601	276	1	0	0	26	1	0	62	55	230	139	3128	3295	711	4181	5902	5098	5809	5524	4590	4595	0	3324	2049	2526	2902	5574	2756	4238	3298	2813	1784	2852	2243	3193	1348	3261	2147	1521	2429	2	1	1	0	2	1	1	2	1	4	3	0	2	1	0	0	0	0	1	2	0	0	1	6657	4338	4803	9505	4789	2697	4584	6991	7242	10069	11849	9384	2	3	1403	4335	4152	4836	3796	10216	713	2932	3426	3441	4580	5449	6091	8001	6501	11101	11714	10331	8027	2558	3	113	33	75	0	388	1439	392	577	189	7477	9263	3801	11367	9207	12769	18542	11920	12446	18808	0	16463	10627	8371	8527	14654	15113	14170	8159	8899	8083	11361	2554	4210	6128	3008	2018	3494	4697	0	0	1	0	0	2	1	0	0	1	1	0	0	1	2	1	1	0	1	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	148	1	1	3141	11000	5902	1483	19536	47545	40648	56958	20766	3	6	0	0	0	0	4	7	398	3061	24	388	2169	4558	1604	1189	1356	8567	8969	11	1	15	1637	143	199	179	377	0	0	 k__Bacteria_MOB_like; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylobacter; s__deep-sea-1
ZOTU3	16126	12645	134	278	652	749	1149	1914	3790	3184	4065	5884	6395	4363	6406	8812	9113	9196	10783	15627	1	620	577	0	435	1536	7336	6676	6845	4725	1529	3292	1867	0	1	0	135	129	29	11	50	259	7408	6236	6447	4852	5337	2730	4943	4059	4810	4318	4727	4860	5710	1159	4	0	0	1	0	0	0	2	0	2	1013	1051	2896	8397	8337	7269	6933	5706	4230	4246	0	107	15	263	59	130	85	477	664	252	1276	658	2788	2602	1096	4180	2648	2718	2023	1	3969	6030	92	104	728	239	716	1061	675	2735	1990	768	1629	2250	1998	2676	3143	3461	2261	3209	3100	0	0	69	416	344	588	984	306	138	79	20	22	33	0	0	1333	99	58	16	0	0	593	1719	2210	1025	2137	1829	1358	1604	1737	1139	3106	2480	2729	493	0	0	0	0	0	0	0	0	0	0	155	229	414	1013	571	2329	2002	2078	1825	3268	0	118	82	201	234	70	370	414	381	458	1989	510	481	1151	451	805	397	607	504	0	4902	2537	33868	5975	48298	50785	62640	32978	28236	27145	16356	17885	10	11	0	304	415	4041	44	2634	15745	3553	12456	20269	4304	1882	2144	17889	6095	3127	2	2	19	4	1	3	306	27	1172	14	28	33	31	290	164	308	57	27	1	1	2	0	3	2	2	4	4	1	26	85	985	7385	2059	1001	1011	4959	6894	3	1	4	9	2	4	3	0	1	2	 k__Bacteria_MOB_like; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylobacter; s__Methylobacter_sp._LW12
ZOTU6	442	663	1	2	0	1	0	31	102	150	265	299	296	266	213	362	431	405	452	390	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	149	78	245	48	32	964	19096	16634	5016	4558	4787	2542	4706	4131	4483	4065	5203	5019	5934	2766	1	1	0	0	0	2	2	1	0	22	3029	3212	4913	7039	9368	8812	8733	7246	6121	5786	1	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	1	0	0	0	535	784	2	0	1	2	26	141	24	468	407	169	330	1681	1072	1208	876	928	1007	392	750	0	0	0	0	1	0	3	0	1	1	2	0	0	0	1	7665	550	584	162	99	782	14454	45235	11099	8059	6874	9509	9326	15114	9570	19180	17001	16877	13063	9790	0	24	0	0	0	1	24	3	4	9	4251	5321	12278	16764	18122	25618	27159	21140	22175	38444	0	0	1	1	2	2	0	1	0	0	0	1	4	0	2	0	0	1	3	0	439	352	4483	907	15584	30563	19472	12456	15601	13968	12375	28310	54	4	0	114	67	535	0	2099	11927	1391	5364	17146	3250	1065	1170	16863	4924	3035	3	3	2	0	5	2	345	1	847	127	50	69	63	819	819	861	565	227	0	0	1	1	1	3	0	2	0	1	0	594	486	9522	2149	2024	1393	7161	10073	0	1	13	10	10	0	1	0	1	0	 k__Bacteria_MOB_like; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylobacter; s__Methylobacter_sp._LW12
ZOTU7	2126	1750	11847	21606	19747	10096	7556	4382	2463	1696	1963	1839	1211	1427	1432	1486	1583	1776	1043	1694	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	96	3667	2764	3221	3058	2171	211	378	343	368	522	254	489	460	523	479	574	610	700	511	0	145	20	100	63	99	755	841	2498	2925	3592	4155	2313	1012	866	308	159	258	177	181	0	38	43	157	72	220	28	20	114	78	99	0	273	170	113	145	48	24	0	0	3184	1550	22334	27994	27921	23492	16722	12180	6028	6433	3232	4074	4626	3248	2341	2701	2525	4162	2985	2121	2248	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	4616	5601	4726	4501	5017	2525	288	479	219	154	168	191	172	343	203	382	352	427	249	202	0	672	184	988	781	1013	7319	2991	3752	4701	4285	5087	2816	693	844	307	242	602	214	363	0	75	85	67	74	75	88	24	45	59	66	72	146	65	112	81	31	30	22	0	5921	3724	24883	5604	18817	10560	12861	3044	3904	2521	1851	2910	0	0	28	1019	947	3263	44	1114	2926	1588	4175	3612	825	1517	1974	1922	805	891	16	0	124	240	2849	1266	2826	4624	1980	1087	1856	1052	257	886	984	479	357	84	0	174	637	2085	5115	4461	2591	8936	2089	7351	821	4705	2111	564	2	118	51	587	403	144	58	149	2379	2716	4873	4977	5874	0	0	 k__Bacteria_MOB_like; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__typeIa; s__lake-cluster-1
ZOTU11	362	531	0	50	414	377	152	385	168	100	118	105	228	315	223	324	326	226	206	365	0	0	0	0	0	200	229	160	78	101	51	168	192	1	0	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1086	776	1695	1334	2581	1352	1815	3921	2552	3161	4082	9435	8599	3674	11500	10210	7923	7391	0	2453	2548	181	566	4953	3372	2410	1867	1399	1238	952	882	889	1557	2604	2440	2237	3338	1874	2273	1856	3	90	0	21	271	264	228	168	209	221	219	224	199	14	4	2	1	0	1	0	1	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	1	2	0	1	0	0	0	8	1	1	1	1	1	0	0	0	1	1	1	1	7595	7677	7607	7020	11664	13814	13065	10629	13405	14161	17066	13670	19213	16930	21689	10553	17073	19856	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria_MOB_like; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylobacter; s__
ZOTU8	87	117	1209	1784	1302	487	310	252	117	75	82	65	152	93	37	114	63	85	86	96	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	431	3425	2649	3113	2667	2204	246	322	202	219	259	124	253	262	246	259	259	309	315	632	0	188	29	163	82	71	1167	1515	3893	4189	4267	4589	3932	1508	1131	240	181	269	155	145	1	181	90	256	246	515	136	70	347	178	239	146	359	529	435	161	179	61	0	0	141	62	2517	2091	1625	1536	805	432	426	333	236	278	238	160	190	126	188	177	145	194	111	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	6173	5070	4558	4379	5608	1964	270	373	166	79	117	110	123	237	93	176	131	152	165	3	0	1795	515	1904	1973	1724	11575	5300	5232	6937	4042	4608	4478	1231	1259	352	240	650	223	357	0	66	126	124	78	123	104	137	159	126	147	38	268	291	309	183	35	68	32	0	3528	1865	14614	4115	15359	11005	14661	4154	3820	2084	1358	1861	1	2	41	894	462	1689	2	2998	7700	3648	9930	7825	1789	3219	2976	3847	1601	1608	2	0	529	524	8270	2407	3781	4523	4076	1062	1189	767	217	1185	1181	577	324	150	0	24	176	483	1096	971	558	1759	490	2362	1267	5317	4552	681	13	79	46	249	472	311	191	145	3560	5069	7687	6891	7372	0	0	 k__Bacteria_MOB_like; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__typeIa; s__lake-cluster-1
ZOTU9	130	142	0	0	0	1	1	17	7	5	41	19	29	43	44	33	38	90	37	141	0	0	0	0	363	2319	4394	6148	6355	5679	4561	9674	10040	7	0	0	0	0	11	1	0	14	265	370	417	567	595	341	653	753	484	785	909	883	1124	5	0	0	0	0	0	0	0	1	0	1	8	55	853	371	1295	2414	3037	3465	2401	2347	0	119	121	267	119	306	123	159	800	846	862	557	3741	2708	1325	4359	3953	3960	4035	0	80	99	0	1	56	0	0	97	45	39	28	13	6	39	103	13	3	12	41	17	187	0	344	52	149	1336	1889	2163	1954	2264	2744	1713	1892	3340	1	2	95	2	0	0	1	0	51	105	192	137	197	212	303	244	311	276	459	527	591	0	0	0	0	0	0	0	0	0	0	2	18	6	115	77	138	1474	2990	2857	2625	3425	1	113	169	468	405	482	660	876	848	791	1361	2071	1621	1926	1053	1965	843	3726	1968	1	725	797	4598	826	8237	8557	7921	6980	6678	8796	4261	7581	3	1	1	46	29	702	1	569	4385	1546	6199	6185	962	465	507	4493	1352	3493	0	0	1	0	2	0	141	0	264	223	711	3201	1925	13222	16682	14241	9007	2612	2	0	0	1	0	2	1	0	0	20	0	0	436	3660	1732	1586	916	4864	6186	1	0	2	98	1	2	2	0	1	0	 k__Bacteria_MOB_like; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylobacter; s__
